2022-07-27 13:46:07 ************************************
2022-07-27 13:46:07 BEGIN migrate_data
2022-07-27 13:46:13 BEGIN export_schemas
2022-07-27 13:48:06 END export_schemas
2022-07-27 13:48:07 BEGIN copy_schema_export_to_object_store
2022-07-27 13:48:59 END copy_schema_export_to_object_store
2022-07-27 13:49:02 BEGIN create_credential
2022-07-27 13:49:02 END create_credential
2022-07-27 13:49:03 BEGIN import_schemas
2022-07-27 13:56:53 END import_schemas
2022-07-27 13:56:54 END migrate_data
2022-07-27 13:56:54 ************************************
2022-07-27 13:56:55 BEGIN migrate_workload
2022-07-27 13:56:58 BEGIN create_sqlset
2022-07-27 13:56:59 END create_sqlset
2022-07-27 13:56:59 BEGIN load_sqlset
2022-07-27 14:04:30 ************************************
2022-07-27 14:04:30 BEGIN migrate_data
2022-07-27 14:04:33 BEGIN export_schemas
2022-07-27 14:06:01 END export_schemas
2022-07-27 14:06:02 BEGIN copy_schema_export_to_object_store
2022-07-27 14:07:02 END copy_schema_export_to_object_store
2022-07-27 14:07:07 BEGIN create_credential
2022-07-27 14:07:09 END create_credential
2022-07-27 14:07:09 BEGIN import_schemas
2022-07-27 14:15:05 END import_schemas
2022-07-27 14:15:06 END migrate_data
2022-07-27 14:15:06 ************************************
2022-07-27 14:15:06 BEGIN migrate_workload
2022-07-27 14:15:10 BEGIN create_sqlset
2022-07-27 14:15:10 END create_sqlset
2022-07-27 14:15:10 BEGIN load_sqlset
2022-07-27 14:15:43 END load_sqlset
2022-07-27 14:15:44 BEGIN create_staging_table
2022-07-27 14:15:44 END create_staging_table
2022-07-27 14:15:45 BEGIN pack_sqlset
2022-07-27 14:15:48 END pack_sqlset
2022-07-27 14:15:48 BEGIN export_sqlset
2022-07-27 14:16:33 END export_sqlset
2022-07-27 14:16:34 BEGIN copy_sqlset_export_to_object_store
2022-07-27 14:16:37 END copy_sqlset_export_to_object_store
2022-07-27 14:16:40 BEGIN create_credential
2022-07-27 14:16:41 END create_credential
2022-07-27 14:16:41 BEGIN import_sqlset
2022-07-27 14:19:43 END import_sqlset
2022-07-27 14:19:44 BEGIN unpack_sqlset
2022-07-27 14:19:44 END unpack_sqlset
2022-07-27 14:19:45 END migrate_workload
2022-07-27 14:19:45 ************************************
2022-07-27 14:19:46 BEGIN run_analysis
2022-07-27 14:19:51 BEGIN create_analysis_task
2022-07-27 14:19:51 END create_analysis_task
2022-07-27 14:19:52 BEGIN convert_sqlset
2022-07-27 14:20:38 END convert_sqlset
2022-07-27 14:20:38 BEGIN execute_sqlset
2022-07-27 14:21:28 END execute_sqlset
2022-07-27 14:21:29 BEGIN compare_executions
2022-07-27 14:22:13 END compare_executions
2022-07-27 14:22:13 BEGIN generate_report
2022-07-27 14:22:21 END generate_report
2022-07-27 14:22:22 END run_analysis
2022-07-27 14:22:22 ************************************
2022-07-27 14:22:23 BEGIN run_advisor
2022-07-27 14:22:26 BEGIN create_tuning_task
2022-07-27 14:22:26 END create_tuning_task
2022-07-27 14:22:26 BEGIN run_tuning_task
2022-07-27 14:23:51 END run_tuning_task
2022-07-27 14:23:52 BEGIN generate_tuning_script
2022-07-27 14:23:52 END generate_tuning_script
2022-07-27 14:23:52 END run_advisor
